ProphageID	Phylum	Class	Order	Family	Genus	Species	strain	NCBItaxonomyID
g.1656.pp.9	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		3140A	469593
g.1738.pp.2	Actinobacteria;	Coriobacteriia;	Eggerthellales;	Eggerthellaceae;	Eggerthella;	Eggerthellalenta	DSM2243	479437
g.1750.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesfinegoldii	DSM17565	483215
g.1750.pp.6	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides;	Bacteroidesfinegoldii	DSM17565	483215
g.1763.pp.12	Firmicutes;	Clostridia;	Clostridiales;	Peptococcaceae;	Desulfotomaculum;	Desulfotomaculumacetoxidans	DSM771	485916
g.1894.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	[Eubacterium]rectale		ATCC33656	515619
g.1894.pp.6	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	[Eubacterium]rectale		ATCC33656	515619
g.1895.pp.2	Firmicutes;	Clostridia;	Clostridiales;	Eubacteriaceae;	Eubacterium;	[Eubacterium]eligens	ATCC27750	515620
g.1910.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Lachnoclostridium;	[Clostridium]asparagiforme	DSM15981	518636
g.1947.pp.2	Actinobacteria;	Coriobacteriia;	Coriobacteriales;	Coriobacteriaceae;	Collinsella;	Collinsellaintestinalis	DSM13280	521003
g.1980.pp.1	Firmicutes;	Tissierellia;	Tissierellales;	Peptoniphilaceae;	Anaerococcus;	Anaerococcuslactolyticus	ATCC51172	525254
g.2060.pp.4	Firmicutes;	Bacilli;	Bacillales;	Bacillaceae;	Bacillus;	Bacilluscereusgroup;	R309803	526968
g.2141.pp.5	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae;	Roseburia;	Roseburiaintestinalis	L1-82	536231
g.2234.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae			D16	552398
g.226.pp.8	Cyanobacteria;	Oscillatoriophycideae;	Oscillatoriales;	Microcoleaceae;	Trichodesmium;	Trichodesmiumerythraeum	IMS101	203124
g.2289.pp.1	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		D1	556258
g.2290.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		D2	556259
g.2290.pp.4	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		D2	556259
g.23381.pp.3	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasfluorescensgroup;	A506	1037911
g.23533.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasaeruginosagroup;	213BR	1051004
g.23534.pp.3	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas;	Pseudomonasaeruginosagroup;	9BR	1051005
g.23643.pp.2	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Burkholderiaceae;	Burkholderia;	Burkholderiacepaciacomplex;	H111	1055524
g.2412.pp.2	Proteobacteria;	Alphaproteobacteria;	Rickettsiales;	Anaplasmataceae;	Wolbachieae;	Wolbachia;	ofCulexquinquefasciatusPel	570417
g.2418.pp.1	Firmicutes;	Clostridia;	Halanaerobiales;	Halanaerobiaceae;	Halanaerobium;	Halanaerobiumpraevalens	DSM2228	572479
g.24302.pp.1	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Oxalobacteraceae;	Janthinobacterium;	Janthinobacteriumlividum	PAMC25724	1112211
g.24569.pp.1	Proteobacteria;	Gammaproteobacteria;	Vibrionales;	Vibrionaceae;	Vibrio;	Vibriocyclitrophicus	1F273	1136161
g.24636.pp.3	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas		GM18	1144324
g.24647.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas		GM67	1144335
g.24656.pp.5	Proteobacteria;	Alphaproteobacteria;	Rhizobiales;	Bradyrhizobiaceae;	Bradyrhizobium		YR681	1144344
g.2482.pp.2	Proteobacteria;	Betaproteobacteria;	Nitrosomonadales;	Gallionellaceae;	Sideroxydans;	Sideroxydanslithotrophicus	ES-1	580332
g.2482.pp.4	Proteobacteria;	Betaproteobacteria;	Nitrosomonadales;	Gallionellaceae;	Sideroxydans;	Sideroxydanslithotrophicus	ES-1	580332
g.25008.pp.2	Proteobacteria;	Gammaproteobacteria;	Xanthomonadales;	Rhodanobacteraceae;	Rhodanobacter;	Rhodanobacterthiooxydans	LCS2	1163409
g.25178.pp.2	Proteobacteria;	Gammaproteobacteria;	Pseudomonadales;	Pseudomonadaceae;	Pseudomonas		M47T1	1179778
g.2542.pp.7	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Bacteroidaceae;	Bacteroides		D22	585544
g.25458.pp.1	Bacteroidetes;	Sphingobacteriia;	Sphingobacteriales;	Sphingobacteriaceae;	Pedobacter;	Pedobacterarcticus	A12	1206103
g.2615.pp.2	Tenericutes;	Mollicutes;	Acholeplasmatales;	Acholeplasmataceae;	CandidatusPhytoplasma;	16SrXII(Stolburgroup)	australiense	59748
g.26274.pp.7	Firmicutes;	Clostridia;	Clostridiales;	Clostridiaceae;	Alkaliphilus;	Alkaliphilusmetalliredigens	QYMF	293826
g.2640.pp.3	Firmicutes;	Bacilli;	Bacillales;	Paenibacillaceae;	Paenibacillus;	Paenibacillussp.oraltaxon786	D14	621372
g.26473.pp.3	Proteobacteria;	Alphaproteobacteria;	Rhodobacterales;	Rhodobacteraceae;	Rhodobacter;	Rhodobactersphaeroides	ATCC17025	349102
g.2650.pp.3	Proteobacteria;	Betaproteobacteria;	Burkholderiales;	Burkholderiaceae;	Burkholderia;	Burkholderiaglumae	BGR1	626418
g.26528.pp.6	Cyanobacteria;	Nostocales;	Rivulariaceae;	Rivularia			PCC7116	373994
g.26742.pp.5	Fusobacteria;	Fusobacteriia;	Fusobacteriales;	Fusobacteriaceae;	Fusobacterium;	Fusobacteriumulcerans	121B	457404
g.26919.pp.1	Bacteroidetes;	Flavobacteriia;	Flavobacteriales;	Flavobacteriaceae;	Galbibacter		ck-I2-15	555500
g.26931.pp.6	Cyanobacteria;	Oscillatoriophycideae;	Oscillatoriales;	Oscillatoriaceae;	Oscillatoria;	Oscillatoriaacuminata	PCC6304	56110
g.26941.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Prevotellaceae;	Prevotella		C561	563031
g.27016.pp.1	Proteobacteria;	delta/epsilonsubdivisions;	Deltaproteobacteria;	Desulfovibrionales;	Desulfovibrionaceae;	Desulfovibrio	U5L	596152
g.27080.pp.5	Proteobacteria;	delta/epsilonsubdivisions;	Deltaproteobacteria;	Desulfobacterales;	Desulfobacteraceae;	Desulfobacula;	Tol2	651182
g.27080.pp.7	Proteobacteria;	delta/epsilonsubdivisions;	Deltaproteobacteria;	Desulfobacterales;	Desulfobacteraceae;	Desulfobacula;	Tol2	651182
g.27096.pp.1	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			7158FAA	658087
g.27096.pp.15	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			7158FAA	658087
g.27096.pp.3	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			7158FAA	658087
g.27096.pp.7	Firmicutes;	Clostridia;	Clostridiales;	Lachnospiraceae			7158FAA	658087
g.27099.pp.2	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Tannerellaceae;	Parabacteroides		D25	658661
g.27128.pp.1	Firmicutes;	Clostridia;	Clostridiales;	Clostridiaceae;	Clostridium		7354FAA	665940
g.27128.pp.10	Firmicutes;	Clostridia;	Clostridiales;	Clostridiaceae;	Clostridium		7354FAA	665940
g.27137.pp.4	Firmicutes;	Clostridia;	Clostridiales;	Ruminococcaceae;	Subdoligranulum		4354A2FAA	665956
g.27343.pp.3	Bacteroidetes;	Bacteroidia;	Bacteroidales;	Rikenellaceae;	Alistipes;	Alistipesfinegoldii	DSM17242	679935
